group,item,unit,qty_per_week,memo
주간(필수),닭가슴살(IQF),1kg 팩,1–2팩,"일요일 전량 조리, 3–4일 냉장·나머지 익혀서 냉동 / 고소비 주(예: 주1·3) 2팩(1.7–2.0kg) 권장"
주간(필수),그릭요거트(무가당),450g 통 또는 100g 컵×4,1통 또는 4컵,월/목 2회 오픈 전략
주간(필수),샐러드믹스/베이비리프,200g 팩,3팩,월/목 오픈(3–4일) + 토 소형팩 #3 오픈→다음 주 월까지 소진
주간(필수),두부(단단한),300–380g/모,2모,개봉 후 3–4일
주간(필수),참치캔(라이트),100–135g/캔,4캔,개봉 후 1–2일(유리용기 이동)
주간(필수),달걀,10개/판,1판(10개),일요일 4–6개 삶기
주간(필수),통밀 식빵,1개(340–500g),1개(절반 냉동),2–3장씩 소분 냉동
주간(필수),오이·파프리카·방울토마토·(적)양파,오이 3입/파프리카 2입/토마토 500g/양파 1kg,각 1묶음,샌드·샐러드 공용
주간(필수),아보카도,개,3개,숙성 단계 섞어 구매
주간(필수),과일 믹스(블루베리/키위/바나나/딸기),블루베리 125g×2/키위 4입/바나나 4–6입/딸기 500g,선택 2종,요거트 토핑용
주간(보강),렌틸(레토르트),180g 파우치,1–2개,샐러드 토핑
주간(보강),병아리콩(캔),400g/캔,1캔,샐러드 토핑·헹궈 사용
주간(보강),냉동 에다마메,400g 팩,1팩,사시미 주간 보강(100g/회)
주간(보강),통곡 또띠야,6–8장/팩,1팩(격주),두부 랩
격주/월1,케이퍼,60g 병,격주 1병,훈제연어·요거트 소스
격주/월1,올리브(병),350g 병,월1 1병,그릭/샌드
격주/월1,딜/바질/파슬리(건조),7–20g 병,월1 각 1병,생허브 대체
격주/월1,오레가노(건조),20g 병,월1 1병,그릭 샐러드
격주/월1(선택),페타치즈,200g,격주 1개,그릭 샐러드
격주/월1(선택),파르메산,200g,월1 1개,시저 드레싱
격주/월1(선택),허머스,200–250g 통,격주 1통,허머스·치킨 샌드
격주/월1,미역(건조),50g,월1 1봉,포케
격주/월1,간장/폰즈/참기름,300–500ml,월1 점검,포케·사시미 드레싱
격주/월1(선택),완두콩/그린빈(냉동),300–400g,격주 1팩,니수아즈용
격주/월1(선택),현미,1kg,월1 1봉,포케 옵션
(1·3주) 전용,연어(사시미용),200g × 2(또는 400g 소분),1세트,수 오전 수령 또는 냉동 재고 사용(화 밤 해동) / 당일 섭취
(1·3주) 선택,훈제연어,200g,필요 시 1팩,화 오픈→목 소비
