요일,제목,할일
일,메인 장보기/조리,닭 1.4–1.6kg 조리→3–4일 냉장·나머지 냉동(100–150g 소분)
일,메인 장보기/조리,달걀 4–6 삶기(껍질째 1주)
일,메인 장보기/조리,식빵 절반 냉동(2–3장씩 소분)
월,1차 오픈,"요거트 통 #1 오픈(월~수, 80g×3=240g)"
월,1차 오픈,샐러드믹스 #1 오픈(월~수)
화 밤,(1·3주) 연어 해동,"연어 200g 냉장해동(0–4℃, 8–12h)"
수,사시미 샐러드(1·3주),연어 200g + 에다마메 100g 보강
수,사시미 샐러드(1·3주),남은 회는 익일 점심까지만
목,2차 오픈 & 포케(1·3주),"요거트 통 #2 오픈(목~금, 80g×2=160g)"
목,2차 오픈 & 포케(1·3주),샐러드믹스 #2 오픈(목~토)
목,2차 오픈 & 포케(1·3주),"연어 포케(당일 섭취, 필요 시 전날 밤 200g 해동)"
금,재고 점검,닭 냉장분 소진(필요시 냉동 1팩 해동)
금,재고 점검,통조림 개봉분 1–2일 내 마감
토/일,주말 루틴,점심 샌드·저녁 자유식(20시 이전 마감)
토/일,주말 루틴,일 저녁 냉장고 정리→다음 주 준비
