카테고리,레시피,1인분(서빙),재료,드레싱/소스,조리 단계,목표 단백질(g),보관/소비 팁,옵션/대체
샌드위치,치킨 아보카도,빵 2슬라이스 1인분,"통곡물빵 2장(60g), 닭가슴살 구이 150g, 아보카도 70g(1/2개), 루콜라 20g, 토마토 60g, 적양파 15g",홀그레인 머스터드 10g + 올리브오일 5ml + 레몬즙 5ml + 후추,1) 빵 토스트. 2) 닭 슬라이스·채소 손질. 3) 소스 바르고 적층. 4) 바로 섭취.,45–55,"닭: 조리 후 3–4일 냉장, 나머지 냉동.",아보카도→후무스 30g 대체 가능. 단백질 업: 닭 +30–50g.
샌드위치,참치 레몬셀러리,빵 2슬라이스 1인분,"통곡물빵 2장(60g), 참치 체 130g, 셀러리 40g, 적양파 20g",올리브오일 5ml + 레몬즙 10ml + 후추 + 소금 약간,1) 참치 물기 제거 후 셀러리·양파와 버무림. 2) 소스 섞기. 3) 빵에 올림.,40–50,캔 개봉 후 유리용기 1–2일 내.,빵 대신 통곡 또띠야 가능. +삶은달걀 1개로 단백질 업.
샌드위치,훈제연어 오이&요거트,빵 2슬라이스 1인분,"통곡물빵 2장(60g), 훈제연어 110g, 오이 60g, 적양파 20g, 케이퍼 5g, 딜",그릭요거트 30g + 레몬즙 5ml + 머스터드 5g,1) 빵 토스트. 2) 요거트 소스 바르고 오이·연어·양파·케이퍼. 3) 딜·후추.,35–45,훈제연어는 3일 내 소진.,코티지치즈 40g 추가 가능.
샌드위치,에그&치킨 요거트머스터드,빵 2슬라이스 1인분,"통곡물빵 2장(60g), 삶은달걀 2개(100g), 닭가슴 슬라이스 80g, 파프리카 40g, 파슬리",그릭요거트 20g + 머스터드 5g + 레몬즙 5ml,1) 달걀 으깨 소스와 버무림. 2) 닭과 적층. 3) 허브.,40–50,삶은 달걀 1주(껍질째).,닭→훈제칠면조 대체 가능.
샌드위치,정어리 레몬케이퍼(오픈샌드),빵 1–2슬라이스 1인분,"통곡물빵 1–2장(30–60g), 정어리 통조림 120–150g(체), 적양파 15g, 딜, 레몬 제스트",올리브오일 5ml + 레몬즙 10ml + 케이퍼 5g,1) 빵 토스트. 2) 정어리 올리고 소스. 3) 양파·딜·제스트.,35–45,캔 개봉 후 1–2일.,삶은달걀 1개 추가.
샌드위치,닭가슴 바질페스토,빵 2슬라이스 1인분,"통곡물빵 2장(60g), 닭가슴 150g, 토마토 60g, 바질 5g",바질 페스토 15g,1) 빵 토스트. 2) 페스토 바르고 닭·토마토·바질.,45–55,페스토 1주 냉장(기름층으로 덮기).,페스토→머스터드+올리브오일로 대체.
샌드위치,두부 스테이크 랩,또띠야 1장 1인분,"단단한 두부 200g, 양배추채 60g, 당근채 40g, 통곡 또띠야 1",라임즙 10ml + 간장 5ml + 올리브오일 5ml,1) 두부 1.5cm 두께로 굽기. 2) 채소와 함께 또띠야에 올려 소스. 3) 말아 반으로 절단.,28–35,두부 오픈 후 3–4일.,에다마메 80g 추가로 단백질 업.
샌드위치,고등어 토마토,빵 2슬라이스 1인분,"통곡물빵 2장(60g), 고등어 통조림 120g(체), 토마토 60g, 올리브 10g",발사믹 10ml + 올리브오일 5ml,1) 빵 토스트. 2) 고등어·토마토·올리브·소스.,35–45,캔 개봉 후 1–2일.,닭 50g 추가 가능.
샌드위치,연어 사시미 오픈샌드(당일),빵 1–2슬라이스 1인분,"통곡물빵 1–2장(30–60g), 회용 연어 110g, 아보카도 50g, 딜·후추, 레몬즙 5ml",올리브오일 3–5ml(선택),1) 빵 토스트. 2) 연어·아보카도 올리고 레몬즙·후추·딜. 3) 즉시 섭취.,30–40,사시미: 개봉 당일 섭취(남으면 익일 점심까지).,연어 +40g으로 단백질 업.
샌드위치,허머스·치킨 콤보,빵 2슬라이스 1인분,"통곡물빵 2장(60g), 허머스 30g, 닭가슴 120g, 오이 50g, 파프리카 40g",올리브오일 3–5ml + 레몬즙 5ml,1) 빵에 허머스. 2) 닭·채소 적층 후 소스.,40–50,허머스 3–5일.,닭→칠면조/두부 대체 가능.
샐러드,치킨 파프리카 볼,대형 볼 1인분,"혼합잎 150g, 닭가슴 200g, 파프리카 80g, 적양파 20g",올리브오일 10ml + 레몬즙 10ml + 소금·후추,1) 잎채소. 2) 닭·채소 올리고 드레싱. 3) 섞어 섭취.,60–70,닭 따뜻하게 올리면 포만감↑.,에다마메 100g 추가.
샐러드,두부 타히니,대형 볼 1인분,"두부 220g, 혼합잎 120g, 오이 80g, 방울토마토 100g",타히니 15g + 레몬즙 10ml + 물 10ml + 소금 한꼬집,1) 두부 지짐. 2) 채소와 볼에 담고 타히니.,35–45,두부 수분 제거 필수.,병아리콩 100g 추가.
샐러드,고등어&버섯,대형 볼 1인분,"혼합잎 120g, 고등어캔 150g(체), 양송이 120g(구움)",발사믹 10ml + 올리브오일 10ml,1) 버섯 구워 식힘. 2) 잎채소 위에 고등어·버섯·드레싱.,35–45,캔 1–2일 내.,삶은달걀 1–2개 추가.
샐러드,니수아즈 변형,대형 볼 1인분,"참치 120g(체), 삶은 달걀 1개, 로메인 120g, 완두/그린빈 80g, 올리브 10g, 토마토 100g",올리브오일 10ml + 레몬즙 10ml + 머스터드 5g,1) 채소 손질. 2) 참치·달걀 올리고 드레싱.,40–50,완두는 데쳐 식힘.,참치 +40g
샐러드,그릭 샐러드+치킨,대형 볼 1인분,"오이 120g, 토마토 150g, 적양파 20g, 올리브 10g, 페타 20g, 닭 180g, 잎채소 100g",올리브오일 10ml + 레몬 10ml + 오레가노,1) 채소 큼직. 2) 닭·페타·드레싱.,55–65,페타 염분 주의.,닭 +40g
