요일,주차조건,트립,필수여부,항목
일,,메인 장보기,필수,닭가슴살 IQF 1–2kg
일,,메인 장보기,필수,그릭요거트 450g 1통 또는 100g×4
일,,메인 장보기,필수,샐러드믹스 200g×3
일,,메인 장보기,필수,두부 2모
일,,메인 장보기,필수,참치캔 4캔
일,,메인 장보기,필수,달걀 10개
일,,메인 장보기,필수,통밀 식빵 1개
일,,메인 장보기,필수,오이 3입·파프리카 2입·방울토마토 500g·(적)양파 1kg
일,,메인 장보기,필수,아보카도 3개
일,,메인 장보기,필수,과일 2종
일,,메인 장보기,필수,렌틸 파우치 1–2
일,,메인 장보기,필수,병아리콩 1캔
일,,메인 장보기,필수,에다마메 400g
일,,메인 장보기,필수,또띠야 1팩(격주)
일,,소스/허브(격주/월1),선택,케이퍼 60g
일,,소스/허브(격주/월1),선택,올리브 350g
일,,소스/허브(격주/월1),선택,딜/바질/파슬리/오레가노(건조)
일,,소스/허브(격주/월1),선택,미역 50g
일,,소스/허브(격주/월1),선택,간장/폰즈/참기름
수,"1,3",연어 수령/구매,필수,연어 200g×2(사시미용) — 수 오전 수령 또는 매장 구매
토,,리프 보충,선택,샐러드믹스 소형팩 1 — #3 오픈
금,,재고 점검,필수,닭 냉장분·개봉 통조림 마감
